algo,inst,run,t_fin,v90,v_fin
abce3,ft10,1,60.000,944.500,944.500
abce3,ft10,2,60.000,940.000,940.000
abce3,ft10,3,60.000,950.000,950.000
abce3,ft10,4,60.000,955.000,955.000
abce3,ft10,5,60.000,940.000,940.000
abce3,ft10,6,60.000,962.500,962.500
abce3,ft10,7,60.000,940.000,940.000
abce3,ft10,8,60.000,935.500,935.500
abce3,ft10,9,60.000,966.000,966.000
abce3,ft10,10,60.000,940.000,940.000
abce3,ft10,11,60.000,950.000,950.000
abce3,ft10,12,60.016,949.000,949.000
abce3,ft10,13,60.000,959.000,959.000
abce3,ft10,14,60.000,945.000,945.000
abce3,ft10,15,60.000,939.000,939.000
abce3,ft10,16,60.000,945.000,945.000
abce3,ft10,17,60.016,940.000,940.000
abce3,ft10,18,60.000,939.000,939.000
abce3,ft10,19,60.000,949.000,949.000
abce3,ft10,20,60.000,969.000,969.000
abce3,ft10,21,60.000,953.500,953.500
abce3,ft10,22,60.000,946.500,946.500
abce3,ft10,23,60.000,940.000,940.000
abce3,ft10,24,60.000,969.000,969.000
abce3,ft10,25,60.000,967.500,967.500
abce3,ft10,26,60.000,940.000,939.000
abce3,ft10,27,60.000,950.500,950.500
abce3,ft10,28,60.000,961.000,961.000
abce3,ft10,29,60.000,949.000,949.000
abce3,ft10,30,60.000,971.000,971.000
abce3,tai15_15_01,1,55.000,1318.000,1318.000
abce3,tai15_15_01,2,55.016,1294.000,1294.000
abce3,tai15_15_01,3,60.000,1304.500,1304.500
abce3,tai15_15_01,4,60.000,1302.000,1302.000
abce3,tai15_15_01,5,60.000,1304.500,1304.500
abce3,tai15_15_01,6,60.000,1284.000,1284.000
abce3,tai15_15_01,7,60.000,1308.500,1305.000
abce3,tai15_15_01,8,60.000,1301.000,1299.500
abce3,tai15_15_01,9,55.016,1307.500,1304.500
abce3,tai15_15_01,10,55.000,1307.500,1307.500
abce3,tai15_15_01,11,55.016,1324.000,1324.000
abce3,tai15_15_01,12,60.000,1296.000,1296.000
abce3,tai15_15_01,13,60.016,1302.000,1299.000
abce3,tai15_15_01,14,60.000,1316.000,1293.000
abce3,tai15_15_01,15,60.000,1304.500,1301.500
abce3,tai15_15_01,16,55.000,1306.500,1278.500
abce3,tai15_15_01,17,60.000,1297.000,1297.000
abce3,tai15_15_01,18,60.000,1310.000,1310.000
abce3,tai15_15_01,19,60.000,1290.500,1290.500
abce3,tai15_15_01,20,60.000,1302.000,1302.000
abce3,tai15_15_01,21,55.000,1310.500,1310.500
abce3,tai15_15_01,22,60.000,1302.500,1302.500
abce3,tai15_15_01,23,55.000,1318.500,1318.500
abce3,tai15_15_01,24,55.016,1312.500,1307.500
abce3,tai15_15_01,25,55.031,1314.000,1314.000
abce3,tai15_15_01,26,55.016,1304.000,1304.000
abce3,tai15_15_01,27,60.016,1316.000,1314.000
abce3,tai15_15_01,28,60.000,1304.500,1304.500
abce3,tai15_15_01,29,55.016,1314.500,1306.500
abce3,tai15_15_01,30,60.016,1301.500,1301.500
abce3,tai15_15_02,1,55.031,1295.000,1280.000
abce3,tai15_15_02,2,60.016,1287.000,1287.000
abce3,tai15_15_02,3,55.031,1299.500,1299.500
abce3,tai15_15_02,4,60.000,1298.000,1283.500
abce3,tai15_15_02,5,55.016,1298.500,1286.500
abce3,tai15_15_02,6,60.000,1290.000,1290.000
abce3,tai15_15_02,7,60.000,1297.500,1273.000
abce3,tai15_15_02,8,60.000,1282.500,1282.500
abce3,tai15_15_02,9,55.016,1293.000,1293.000
abce3,tai15_15_02,10,60.016,1310.000,1295.000
abce3,tai15_15_02,11,60.000,1291.000,1291.000
abce3,tai15_15_02,12,60.016,1307.500,1306.000
abce3,tai15_15_02,13,60.047,1324.000,1307.000
abce3,tai15_15_02,14,55.016,1292.500,1292.500
abce3,tai15_15_02,15,60.016,1287.500,1287.500
abce3,tai15_15_02,16,55.016,1314.000,1314.000
abce3,tai15_15_02,17,60.000,1300.000,1300.000
abce3,tai15_15_02,18,60.016,1301.000,1301.000
abce3,tai15_15_02,19,60.000,1281.000,1281.000
abce3,tai15_15_02,20,60.000,1310.500,1287.000
abce3,tai15_15_02,21,60.000,1291.000,1291.000
abce3,tai15_15_02,22,60.000,1300.000,1300.000
abce3,tai15_15_02,23,60.000,1299.500,1267.000
abce3,tai15_15_02,24,55.016,1294.500,1294.500
abce3,tai15_15_02,25,60.000,1301.500,1277.000
abce3,tai15_15_02,26,55.016,1281.500,1281.500
abce3,tai15_15_02,27,60.000,1285.000,1285.000
abce3,tai15_15_02,28,60.000,1301.000,1299.000
abce3,tai15_15_02,29,55.000,1305.000,1305.000
abce3,tai15_15_02,30,55.016,1303.000,1297.500
abce3,tai15_15_03,1,55.016,1265.000,1265.000
abce3,tai15_15_03,2,60.000,1285.000,1285.000
abce3,tai15_15_03,3,55.016,1297.000,1297.000
abce3,tai15_15_03,4,55.031,1290.000,1290.000
abce3,tai15_15_03,5,55.031,1285.000,1285.000
abce3,tai15_15_03,6,60.000,1301.000,1289.500
abce3,tai15_15_03,7,60.016,1280.000,1280.000
abce3,tai15_15_03,8,60.000,1283.500,1283.500
abce3,tai15_15_03,9,55.031,1328.000,1288.500
abce3,tai15_15_03,10,60.000,1287.000,1287.000
abce3,tai15_15_03,11,55.000,1296.500,1296.500
abce3,tai15_15_03,12,60.000,1277.000,1277.000
abce3,tai15_15_03,13,60.000,1284.000,1281.000
abce3,tai15_15_03,14,60.000,1275.500,1275.500
abce3,tai15_15_03,15,55.000,1292.000,1292.000
abce3,tai15_15_03,16,60.000,1302.000,1261.500
abce3,tai15_15_03,17,55.016,1318.500,1272.000
abce3,tai15_15_03,18,55.016,1268.500,1268.500
abce3,tai15_15_03,19,55.000,1299.000,1299.000
abce3,tai15_15_03,20,60.000,1271.000,1271.000
abce3,tai15_15_03,21,60.000,1277.500,1277.500
abce3,tai15_15_03,22,55.031,1285.500,1285.500
abce3,tai15_15_03,23,60.016,1290.500,1290.500
abce3,tai15_15_03,24,55.016,1310.500,1307.500
abce3,tai15_15_03,25,55.000,1329.000,1285.000
abce3,tai15_15_03,26,60.000,1279.500,1273.000
abce3,tai15_15_03,27,60.016,1308.500,1308.500
abce3,tai15_15_03,28,60.000,1297.000,1289.000
abce3,tai15_15_03,29,55.000,1270.000,1270.000
abce3,tai15_15_03,30,60.000,1262.500,1262.500
abce3,tai15_15_04,1,55.016,1245.000,1245.000
abce3,tai15_15_04,2,60.000,1265.500,1265.500
abce3,tai15_15_04,3,55.016,1229.000,1229.000
abce3,tai15_15_04,4,60.016,1240.500,1240.500
abce3,tai15_15_04,5,60.000,1244.000,1244.000
abce3,tai15_15_04,6,60.000,1281.000,1253.000
abce3,tai15_15_04,7,60.000,1246.000,1246.000
abce3,tai15_15_04,8,60.000,1255.000,1255.000
abce3,tai15_15_04,9,55.016,1261.000,1247.000
abce3,tai15_15_04,10,60.016,1251.500,1251.500
abce3,tai15_15_04,11,55.031,1245.500,1245.500
abce3,tai15_15_04,12,60.016,1248.000,1248.000
abce3,tai15_15_04,13,55.031,1259.000,1259.000
abce3,tai15_15_04,14,55.000,1281.000,1268.000
abce3,tai15_15_04,15,55.016,1247.500,1247.500
abce3,tai15_15_04,16,60.000,1261.500,1261.500
abce3,tai15_15_04,17,60.000,1261.000,1261.000
abce3,tai15_15_04,18,60.016,1255.000,1233.500
abce3,tai15_15_04,19,60.000,1236.000,1236.000
abce3,tai15_15_04,20,60.000,1252.000,1252.000
abce3,tai15_15_04,21,55.000,1257.000,1229.000
abce3,tai15_15_04,22,60.016,1217.000,1217.000
abce3,tai15_15_04,23,55.000,1234.500,1234.500
abce3,tai15_15_04,24,55.000,1262.000,1260.000
abce3,tai15_15_04,25,55.000,1246.500,1246.500
abce3,tai15_15_04,26,55.016,1245.500,1240.000
abce3,tai15_15_04,27,55.016,1236.500,1236.500
abce3,tai15_15_04,28,60.000,1256.000,1256.000
abce3,tai15_15_04,29,60.016,1234.500,1232.000
abce3,tai15_15_04,30,55.016,1219.000,1219.000
abce3,tai15_15_05,1,60.016,1264.000,1264.000
abce3,tai15_15_05,2,55.031,1263.500,1263.500
abce3,tai15_15_05,3,60.000,1268.000,1268.000
abce3,tai15_15_05,4,55.016,1262.000,1262.000
abce3,tai15_15_05,5,55.000,1290.500,1290.500
abce3,tai15_15_05,6,55.016,1271.000,1271.000
abce3,tai15_15_05,7,60.016,1280.000,1280.000
abce3,tai15_15_05,8,60.000,1262.500,1262.500
abce3,tai15_15_05,9,60.016,1296.500,1293.500
abce3,tai15_15_05,10,60.000,1283.000,1283.000
abce3,tai15_15_05,11,55.000,1284.000,1284.000
abce3,tai15_15_05,12,60.016,1268.500,1268.500
abce3,tai15_15_05,13,60.000,1274.000,1274.000
abce3,tai15_15_05,14,55.016,1283.500,1274.000
abce3,tai15_15_05,15,60.000,1293.000,1292.000
abce3,tai15_15_05,16,55.000,1285.000,1285.000
abce3,tai15_15_05,17,55.000,1266.500,1266.500
abce3,tai15_15_05,18,60.000,1289.000,1289.000
abce3,tai15_15_05,19,55.016,1272.000,1272.000
abce3,tai15_15_05,20,55.016,1280.000,1280.000
abce3,tai15_15_05,21,60.016,1268.000,1268.000
abce3,tai15_15_05,22,55.016,1258.500,1258.500
abce3,tai15_15_05,23,55.016,1285.000,1276.000
abce3,tai15_15_05,24,60.000,1273.000,1273.000
abce3,tai15_15_05,25,55.000,1281.500,1281.500
abce3,tai15_15_05,26,60.000,1272.000,1272.000
abce3,tai15_15_05,27,60.000,1289.500,1289.500
abce3,tai15_15_05,28,60.031,1288.500,1288.500
abce3,tai15_15_05,29,60.016,1279.000,1275.000
abce3,tai15_15_05,30,60.000,1284.000,1280.000
abce3,tai15_15_06,1,60.000,1295.000,1295.000
abce3,tai15_15_06,2,55.031,1308.000,1308.000
abce3,tai15_15_06,3,55.031,1304.000,1304.000
abce3,tai15_15_06,4,55.000,1279.000,1279.000
abce3,tai15_15_06,5,60.000,1306.000,1301.000
abce3,tai15_15_06,6,55.031,1286.000,1286.000
abce3,tai15_15_06,7,60.016,1300.500,1300.500
abce3,tai15_15_06,8,60.000,1304.000,1292.500
abce3,tai15_15_06,9,60.016,1290.500,1290.500
abce3,tai15_15_06,10,60.000,1302.000,1280.000
abce3,tai15_15_06,11,55.000,1275.500,1275.500
abce3,tai15_15_06,12,55.016,1305.500,1305.500
abce3,tai15_15_06,13,60.000,1286.000,1286.000
abce3,tai15_15_06,14,60.000,1307.000,1307.000
abce3,tai15_15_06,15,55.016,1268.000,1268.000
abce3,tai15_15_06,16,55.016,1301.000,1284.000
abce3,tai15_15_06,17,60.016,1299.500,1299.500
abce3,tai15_15_06,18,55.000,1299.500,1291.000
abce3,tai15_15_06,19,60.000,1275.500,1275.500
abce3,tai15_15_06,20,60.000,1290.000,1290.000
abce3,tai15_15_06,21,55.000,1301.500,1301.500
abce3,tai15_15_06,22,60.016,1293.000,1293.000
abce3,tai15_15_06,23,55.016,1298.000,1298.000
abce3,tai15_15_06,24,60.000,1311.000,1311.000
abce3,tai15_15_06,25,60.031,1280.500,1280.500
abce3,tai15_15_06,26,60.000,1301.500,1301.500
abce3,tai15_15_06,27,60.000,1314.000,1314.000
abce3,tai15_15_06,28,55.031,1273.500,1273.500
abce3,tai15_15_06,29,60.000,1282.000,1282.000
abce3,tai15_15_06,30,60.000,1283.500,1283.500
abce3,tai15_15_07,1,60.000,1270.500,1270.500
abce3,tai15_15_07,2,60.016,1274.000,1274.000
abce3,tai15_15_07,3,55.000,1289.000,1289.000
abce3,tai15_15_07,4,60.000,1283.000,1283.000
abce3,tai15_15_07,5,55.000,1275.000,1272.000
abce3,tai15_15_07,6,60.000,1274.000,1274.000
abce3,tai15_15_07,7,55.016,1287.000,1270.500
abce3,tai15_15_07,8,60.000,1298.500,1273.500
abce3,tai15_15_07,9,60.000,1287.000,1287.000
abce3,tai15_15_07,10,55.016,1278.500,1278.500
abce3,tai15_15_07,11,55.000,1269.000,1269.000
abce3,tai15_15_07,12,60.000,1296.000,1296.000
abce3,tai15_15_07,13,55.016,1288.500,1271.500
abce3,tai15_15_07,14,55.031,1285.500,1285.500
abce3,tai15_15_07,15,60.000,1276.000,1276.000
abce3,tai15_15_07,16,55.016,1279.500,1279.500
abce3,tai15_15_07,17,60.000,1258.000,1258.000
abce3,tai15_15_07,18,60.000,1265.500,1265.500
abce3,tai15_15_07,19,55.000,1275.500,1275.500
abce3,tai15_15_07,20,60.000,1273.500,1273.500
abce3,tai15_15_07,21,55.031,1287.500,1276.500
abce3,tai15_15_07,22,55.016,1265.000,1265.000
abce3,tai15_15_07,23,60.000,1297.500,1297.500
abce3,tai15_15_07,24,60.000,1279.500,1279.500
abce3,tai15_15_07,25,60.016,1286.500,1286.500
abce3,tai15_15_07,26,60.016,1267.500,1263.000
abce3,tai15_15_07,27,60.000,1272.000,1272.000
abce3,tai15_15_07,28,60.000,1265.000,1265.000
abce3,tai15_15_07,29,60.016,1275.500,1275.500
abce3,tai15_15_07,30,60.000,1282.000,1282.000
abce3,tai15_15_08,1,60.000,1272.000,1272.000
abce3,tai15_15_08,2,60.000,1281.000,1271.500
abce3,tai15_15_08,3,60.016,1288.500,1267.000
abce3,tai15_15_08,4,55.000,1252.500,1252.500
abce3,tai15_15_08,5,60.016,1269.500,1269.500
abce3,tai15_15_08,6,60.000,1278.000,1278.000
abce3,tai15_15_08,7,60.000,1302.500,1295.000
abce3,tai15_15_08,8,55.016,1289.500,1289.500
abce3,tai15_15_08,9,60.016,1284.500,1284.000
abce3,tai15_15_08,10,60.000,1296.000,1296.000
abce3,tai15_15_08,11,60.000,1282.000,1282.000
abce3,tai15_15_08,12,55.000,1287.000,1284.000
abce3,tai15_15_08,13,55.016,1282.000,1281.000
abce3,tai15_15_08,14,60.000,1278.500,1278.500
abce3,tai15_15_08,15,60.000,1281.000,1254.500
abce3,tai15_15_08,16,55.000,1282.000,1282.000
abce3,tai15_15_08,17,60.000,1255.000,1255.000
abce3,tai15_15_08,18,60.000,1251.500,1251.500
abce3,tai15_15_08,19,60.000,1261.500,1261.500
abce3,tai15_15_08,20,55.000,1298.500,1298.500
abce3,tai15_15_08,21,60.000,1299.000,1299.000
abce3,tai15_15_08,22,60.000,1286.500,1286.500
abce3,tai15_15_08,23,60.000,1292.000,1288.000
abce3,tai15_15_08,24,55.000,1275.000,1275.000
abce3,tai15_15_08,25,60.016,1292.500,1290.500
abce3,tai15_15_08,26,60.016,1292.500,1292.500
abce3,tai15_15_08,27,55.016,1257.000,1244.500
abce3,tai15_15_08,28,55.016,1282.000,1282.000
abce3,tai15_15_08,29,60.000,1286.500,1286.500
abce3,tai15_15_08,30,55.031,1297.000,1297.000
abce3,tai15_15_09,1,55.016,1377.500,1377.500
abce3,tai15_15_09,2,55.016,1330.500,1330.500
abce3,tai15_15_09,3,55.016,1341.000,1341.000
abce3,tai15_15_09,4,60.000,1381.500,1381.500
abce3,tai15_15_09,5,60.000,1335.500,1335.500
abce3,tai15_15_09,6,60.016,1368.500,1368.500
abce3,tai15_15_09,7,60.000,1380.500,1349.000
abce3,tai15_15_09,8,60.000,1358.500,1358.500
abce3,tai15_15_09,9,60.000,1358.000,1358.000
abce3,tai15_15_09,10,55.016,1364.000,1364.000
abce3,tai15_15_09,11,55.016,1341.500,1341.500
abce3,tai15_15_09,12,55.016,1376.500,1376.500
abce3,tai15_15_09,13,60.000,1348.500,1348.500
abce3,tai15_15_09,14,55.016,1366.000,1332.000
abce3,tai15_15_09,15,55.016,1321.000,1321.000
abce3,tai15_15_09,16,60.000,1349.000,1349.000
abce3,tai15_15_09,17,55.031,1327.500,1327.500
abce3,tai15_15_09,18,55.016,1382.500,1362.000
abce3,tai15_15_09,19,60.000,1352.000,1352.000
abce3,tai15_15_09,20,60.000,1368.500,1364.500
abce3,tai15_15_09,21,60.000,1348.000,1348.000
abce3,tai15_15_09,22,55.016,1329.000,1329.000
abce3,tai15_15_09,23,60.000,1355.000,1353.000
abce3,tai15_15_09,24,55.000,1325.000,1325.000
abce3,tai15_15_09,25,60.000,1373.500,1369.000
abce3,tai15_15_09,26,60.000,1355.000,1355.000
abce3,tai15_15_09,27,60.000,1342.500,1342.500
abce3,tai15_15_09,28,60.016,1333.000,1333.000
abce3,tai15_15_09,29,55.000,1365.000,1356.000
abce3,tai15_15_09,30,55.031,1367.000,1367.000
abce3,tai15_15_10,1,60.016,1315.000,1315.000
abce3,tai15_15_10,2,60.000,1304.000,1304.000
abce3,tai15_15_10,3,60.016,1301.500,1301.500
abce3,tai15_15_10,4,60.000,1341.000,1340.000
abce3,tai15_15_10,5,55.000,1311.000,1311.000
abce3,tai15_15_10,6,55.000,1322.000,1309.000
abce3,tai15_15_10,7,60.000,1332.500,1328.000
abce3,tai15_15_10,8,60.000,1298.000,1298.000
abce3,tai15_15_10,9,55.016,1312.000,1290.000
abce3,tai15_15_10,10,60.031,1295.500,1295.500
abce3,tai15_15_10,11,60.000,1290.500,1290.500
abce3,tai15_15_10,12,60.016,1333.000,1329.000
abce3,tai15_15_10,13,55.031,1291.500,1291.500
abce3,tai15_15_10,14,60.016,1332.000,1309.500
abce3,tai15_15_10,15,60.016,1312.000,1312.000
abce3,tai15_15_10,16,60.016,1318.000,1318.000
abce3,tai15_15_10,17,55.000,1321.500,1321.500
abce3,tai15_15_10,18,60.000,1310.000,1310.000
abce3,tai15_15_10,19,55.000,1309.000,1309.000
abce3,tai15_15_10,20,55.031,1335.000,1298.000
abce3,tai15_15_10,21,60.000,1305.500,1305.500
abce3,tai15_15_10,22,55.000,1303.000,1303.000
abce3,tai15_15_10,23,55.016,1314.500,1314.500
abce3,tai15_15_10,24,60.000,1316.000,1316.000
abce3,tai15_15_10,25,60.000,1319.500,1319.500
abce3,tai15_15_10,26,60.000,1331.500,1312.500
abce3,tai15_15_10,27,55.016,1305.000,1305.000
abce3,tai15_15_10,28,60.000,1302.000,1302.000
abce3,tai15_15_10,29,60.016,1327.000,1321.500
abce3,tai15_15_10,30,60.000,1301.500,1301.500
abce3,tai20_20_01,1,60.016,1771.500,1771.500
abce3,tai20_20_01,2,60.000,1760.500,1760.500
abce3,tai20_20_01,3,60.031,1761.000,1761.000
abce3,tai20_20_01,4,60.031,1775.000,1775.000
abce3,tai20_20_01,5,60.047,1800.000,1800.000
abce3,tai20_20_01,6,60.031,1793.000,1793.000
abce3,tai20_20_01,7,60.047,1791.000,1791.000
abce3,tai20_20_01,8,60.016,1787.000,1787.000
abce3,tai20_20_01,9,60.016,1789.500,1789.500
abce3,tai20_20_01,10,60.016,1773.000,1773.000
abce3,tai20_20_01,11,60.000,1781.000,1781.000
abce3,tai20_20_01,12,55.031,1793.000,1793.000
abce3,tai20_20_01,13,60.016,1810.000,1810.000
abce3,tai20_20_01,14,55.047,1796.500,1796.500
abce3,tai20_20_01,15,60.000,1778.500,1778.500
abce3,tai20_20_01,16,60.047,1793.500,1793.500
abce3,tai20_20_01,17,55.031,1753.000,1753.000
abce3,tai20_20_01,18,60.016,1808.000,1808.000
abce3,tai20_20_01,19,60.000,1758.500,1758.500
abce3,tai20_20_01,20,60.016,1779.000,1779.000
abce3,tai20_20_01,21,60.047,1783.500,1783.500
abce3,tai20_20_01,22,60.000,1764.500,1764.500
abce3,tai20_20_01,23,55.016,1765.000,1765.000
abce3,tai20_20_01,24,55.047,1768.500,1768.500
abce3,tai20_20_01,25,60.016,1778.000,1778.000
abce3,tai20_20_01,26,55.062,1797.000,1797.000
abce3,tai20_20_01,27,55.031,1785.500,1785.500
abce3,tai20_20_01,28,55.062,1766.500,1766.500
abce3,tai20_20_01,29,60.031,1783.000,1783.000
abce3,tai20_20_01,30,60.016,1825.000,1825.000
abce3,tai20_20_02,1,55.047,1707.000,1707.000
abce3,tai20_20_02,2,60.016,1734.500,1734.500
abce3,tai20_20_02,3,60.031,1758.500,1758.500
abce3,tai20_20_02,4,55.016,1723.000,1723.000
abce3,tai20_20_02,5,60.016,1706.000,1706.000
abce3,tai20_20_02,6,60.031,1749.000,1749.000
abce3,tai20_20_02,7,60.047,1724.500,1724.500
abce3,tai20_20_02,8,55.016,1731.000,1731.000
abce3,tai20_20_02,9,60.031,1716.000,1716.000
abce3,tai20_20_02,10,55.062,1740.000,1740.000
abce3,tai20_20_02,11,60.031,1752.500,1752.500
abce3,tai20_20_02,12,60.000,1737.000,1737.000
abce3,tai20_20_02,13,55.062,1726.500,1726.500
abce3,tai20_20_02,14,60.000,1725.000,1725.000
abce3,tai20_20_02,15,60.047,1722.500,1722.500
abce3,tai20_20_02,16,60.031,1760.000,1760.000
abce3,tai20_20_02,17,60.047,1720.500,1720.500
abce3,tai20_20_02,18,55.000,1743.500,1743.500
abce3,tai20_20_02,19,55.062,1702.500,1702.500
abce3,tai20_20_02,20,60.016,1753.500,1753.500
abce3,tai20_20_02,21,60.016,1716.000,1716.000
abce3,tai20_20_02,22,60.000,1756.500,1756.500
abce3,tai20_20_02,23,60.047,1710.000,1710.000
abce3,tai20_20_02,24,55.047,1706.000,1706.000
abce3,tai20_20_02,25,55.109,1704.500,1704.500
abce3,tai20_20_02,26,60.031,1747.500,1747.500
abce3,tai20_20_02,27,60.016,1735.000,1735.000
abce3,tai20_20_02,28,55.062,1751.000,1751.000
abce3,tai20_20_02,29,60.000,1740.500,1740.500
abce3,tai20_20_02,30,60.031,1761.500,1761.500
abce3,tai20_20_03,1,60.031,1666.000,1666.000
abce3,tai20_20_03,2,60.016,1689.000,1689.000
abce3,tai20_20_03,3,60.031,1670.500,1670.500
abce3,tai20_20_03,4,55.047,1704.000,1704.000
abce3,tai20_20_03,5,60.016,1684.500,1684.500
abce3,tai20_20_03,6,55.047,1677.000,1677.000
abce3,tai20_20_03,7,60.031,1689.500,1689.500
abce3,tai20_20_03,8,55.000,1691.000,1691.000
abce3,tai20_20_03,9,60.047,1681.000,1681.000
abce3,tai20_20_03,10,55.016,1671.000,1671.000
abce3,tai20_20_03,11,60.031,1656.500,1656.500
abce3,tai20_20_03,12,60.000,1662.000,1662.000
abce3,tai20_20_03,13,60.000,1662.000,1662.000
abce3,tai20_20_03,14,60.016,1675.500,1675.500
abce3,tai20_20_03,15,60.031,1684.000,1684.000
abce3,tai20_20_03,16,60.047,1710.000,1710.000
abce3,tai20_20_03,17,55.031,1693.000,1693.000
abce3,tai20_20_03,18,55.031,1688.500,1688.500
abce3,tai20_20_03,19,60.016,1674.500,1674.500
abce3,tai20_20_03,20,60.031,1696.000,1696.000
abce3,tai20_20_03,21,60.047,1708.500,1708.500
abce3,tai20_20_03,22,60.047,1676.000,1676.000
abce3,tai20_20_03,23,60.047,1668.500,1668.500
abce3,tai20_20_03,24,55.031,1696.000,1696.000
abce3,tai20_20_03,25,60.000,1671.500,1671.500
abce3,tai20_20_03,26,60.031,1657.500,1657.500
abce3,tai20_20_03,27,55.031,1667.000,1667.000
abce3,tai20_20_03,28,60.031,1680.000,1680.000
abce3,tai20_20_03,29,60.031,1678.500,1678.500
abce3,tai20_20_03,30,55.062,1694.500,1694.500
abce3,tai20_20_04,1,55.031,1764.000,1764.000
abce3,tai20_20_04,2,55.094,1761.500,1761.500
abce3,tai20_20_04,3,60.031,1770.000,1770.000
abce3,tai20_20_04,4,60.016,1793.000,1793.000
abce3,tai20_20_04,5,60.031,1762.000,1762.000
abce3,tai20_20_04,6,55.078,1755.000,1755.000
abce3,tai20_20_04,7,60.031,1749.000,1749.000
abce3,tai20_20_04,8,60.031,1741.000,1741.000
abce3,tai20_20_04,9,60.031,1751.000,1751.000
abce3,tai20_20_04,10,60.031,1759.000,1759.000
abce3,tai20_20_04,11,60.031,1806.000,1806.000
abce3,tai20_20_04,12,55.000,1795.000,1795.000
abce3,tai20_20_04,13,60.031,1753.500,1753.500
abce3,tai20_20_04,14,60.016,1769.500,1769.500
abce3,tai20_20_04,15,60.047,1749.000,1749.000
abce3,tai20_20_04,16,60.031,1797.000,1797.000
abce3,tai20_20_04,17,60.000,1782.500,1782.500
abce3,tai20_20_04,18,60.000,1782.000,1782.000
abce3,tai20_20_04,19,60.047,1744.500,1744.500
abce3,tai20_20_04,20,55.000,1782.000,1782.000
abce3,tai20_20_04,21,60.016,1779.500,1779.500
abce3,tai20_20_04,22,60.031,1782.000,1782.000
abce3,tai20_20_04,23,55.031,1753.000,1753.000
abce3,tai20_20_04,24,60.016,1769.500,1769.500
abce3,tai20_20_04,25,60.000,1791.000,1791.000
abce3,tai20_20_04,26,55.125,1749.000,1749.000
abce3,tai20_20_04,27,60.062,1783.500,1783.500
abce3,tai20_20_04,28,60.031,1759.000,1759.000
abce3,tai20_20_04,29,55.000,1759.500,1759.500
abce3,tai20_20_04,30,60.000,1766.500,1766.500
abce3,tai20_20_05,1,60.031,1713.500,1713.500
abce3,tai20_20_05,2,55.078,1767.500,1767.500
abce3,tai20_20_05,3,60.000,1737.000,1737.000
abce3,tai20_20_05,4,60.031,1749.500,1749.500
abce3,tai20_20_05,5,55.078,1775.500,1775.500
abce3,tai20_20_05,6,60.031,1718.000,1718.000
abce3,tai20_20_05,7,55.016,1762.000,1762.000
abce3,tai20_20_05,8,60.016,1730.000,1730.000
abce3,tai20_20_05,9,55.047,1750.500,1750.500
abce3,tai20_20_05,10,60.016,1727.500,1727.500
abce3,tai20_20_05,11,60.016,1729.500,1729.500
abce3,tai20_20_05,12,60.000,1726.000,1726.000
abce3,tai20_20_05,13,60.000,1776.000,1776.000
abce3,tai20_20_05,14,60.016,1737.500,1737.500
abce3,tai20_20_05,15,55.062,1720.000,1720.000
abce3,tai20_20_05,16,55.031,1738.000,1738.000
abce3,tai20_20_05,17,60.016,1741.000,1741.000
abce3,tai20_20_05,18,60.016,1743.500,1743.500
abce3,tai20_20_05,19,60.000,1707.500,1707.500
abce3,tai20_20_05,20,60.016,1731.000,1731.000
abce3,tai20_20_05,21,55.047,1754.000,1754.000
abce3,tai20_20_05,22,55.016,1717.500,1717.500
abce3,tai20_20_05,23,55.031,1733.500,1733.500
abce3,tai20_20_05,24,55.062,1720.500,1720.500
abce3,tai20_20_05,25,55.078,1736.000,1736.000
abce3,tai20_20_05,26,60.000,1730.500,1730.500
abce3,tai20_20_05,27,55.062,1727.500,1727.500
abce3,tai20_20_05,28,60.031,1707.000,1707.000
abce3,tai20_20_05,29,60.000,1702.500,1702.500
abce3,tai20_20_05,30,55.078,1755.500,1755.500
abce3,tai20_20_06,1,60.016,1778.000,1778.000
abce3,tai20_20_06,2,60.016,1762.000,1762.000
abce3,tai20_20_06,3,60.016,1780.500,1780.500
abce3,tai20_20_06,4,60.000,1763.500,1763.500
abce3,tai20_20_06,5,55.047,1771.500,1771.500
abce3,tai20_20_06,6,60.031,1754.000,1754.000
abce3,tai20_20_06,7,60.016,1781.500,1781.500
abce3,tai20_20_06,8,60.031,1772.000,1772.000
abce3,tai20_20_06,9,55.062,1766.500,1766.500
abce3,tai20_20_06,10,60.000,1785.000,1785.000
abce3,tai20_20_06,11,55.031,1770.000,1770.000
abce3,tai20_20_06,12,60.016,1751.500,1751.500
abce3,tai20_20_06,13,60.016,1765.000,1765.000
abce3,tai20_20_06,14,55.031,1741.500,1741.500
abce3,tai20_20_06,15,55.000,1745.000,1745.000
abce3,tai20_20_06,16,60.016,1796.000,1796.000
abce3,tai20_20_06,17,60.000,1738.000,1738.000
abce3,tai20_20_06,18,60.031,1782.500,1782.500
abce3,tai20_20_06,19,60.047,1740.500,1740.500
abce3,tai20_20_06,20,60.047,1786.000,1786.000
abce3,tai20_20_06,21,60.000,1768.500,1768.500
abce3,tai20_20_06,22,55.062,1784.500,1784.500
abce3,tai20_20_06,23,60.031,1795.000,1795.000
abce3,tai20_20_06,24,60.047,1792.000,1792.000
abce3,tai20_20_06,25,60.016,1780.000,1780.000
